profile,segment,transcode_ms_median,crypto_us_p50,crypto_pct
240x180@400k,gradient_000,109.308,196.549,0.1798
240x180@400k,gradient_001,69.307,69.075,0.0997
240x180@400k,detail_000,134.629,402.412,0.2989
240x180@400k,detail_001,77.781,154.789,0.1990
240x180@400k,motion_000,179.089,1427.468,0.7971
240x180@400k,motion_001,93.117,469.895,0.5046
160x120@200k,gradient_000,85.159,146.653,0.1722
160x120@200k,gradient_001,58.760,55.967,0.0952
160x120@200k,detail_000,102.258,344.455,0.3369
160x120@200k,detail_001,64.962,150.943,0.2324
160x120@200k,motion_000,135.416,1392.059,1.0280
160x120@200k,motion_001,77.823,450.405,0.5788
