profile,segment,memfd_ms_median,disk_ms_median,delta_ms,memfd_passes_no_disk,disk_passes_no_disk
240x180@400k,gradient_000,109.965,110.252,0.288,yes,no
240x180@400k,gradient_001,69.830,69.344,-0.486,yes,no
240x180@400k,detail_000,142.340,139.235,-3.106,yes,no
240x180@400k,detail_001,77.547,77.936,0.389,yes,no
240x180@400k,motion_000,189.376,191.717,2.341,yes,no
240x180@400k,motion_001,98.279,94.036,-4.243,yes,no
160x120@200k,gradient_000,87.311,84.803,-2.508,yes,no
160x120@200k,gradient_001,58.979,58.135,-0.844,yes,no
160x120@200k,detail_000,105.627,103.641,-1.986,yes,no
160x120@200k,detail_001,65.323,63.672,-1.652,yes,no
160x120@200k,motion_000,139.963,147.486,7.523,yes,no
160x120@200k,motion_001,81.247,78.501,-2.746,yes,no
